MMSI_x,BaseDateTime_x,LAT_x,LON_x,SOG_x,COG_x,Heading_x,VesselName_x,IMO_x,CallSign_x,VesselType_x,Status_x,Length_x,Width_x,Draft_x,Cargo_x,MMSI_y,BaseDateTime_y,LAT_y,LON_y,SOG_y,COG_y,Heading_y,VesselName_y,IMO_y,CallSign_y,VesselType_y,Status_y,Length_y,Width_y,Draft_y,Cargo_y,
366998170,2017-12-01T00:22:16,40.64867,-74.09588,0.0,-167.8,267.0,PEARL COAST,IMO7806477,WDJ2403,1025,under way using engine,41.64,12.22,,,313-568.5,367782880,2017-12-01T00:22:17,40.67168,-74.02183,23.3,181.9,181.0,H203,,WDJ4962,1012,undefined,,,,,313-568.5
366998170,2017-12-01T00:22:16,40.64867,-74.09588,0.0,-167.8,267.0,PEARL COAST,IMO7806477,WDJ2403,1025,under way using engine,41.64,12.22,,,313-569,367782880,2017-12-01T00:22:17,40.67168,-74.02183,23.3,181.9,181.0,H203,,WDJ4962,1012,undefined,,,,,313-569
366998170,2017-12-01T00:22:16,40.64867,-74.09588,0.0,-167.8,267.0,PEARL COAST,IMO7806477,WDJ2403,1025,under way using engine,41.64,12.22,,,313.5-568.5,367782880,2017-12-01T00:22:17,40.67168,-74.02183,23.3,181.9,181.0,H203,,WDJ4962,1012,undefined,,,,,313.5-568.5
366998170,2017-12-01T00:22:16,40.64867,-74.09588,0.0,-167.8,267.0,PEARL COAST,IMO7806477,WDJ2403,1025,under way using engine,41.64,12.22,,,313.5-569,367782880,2017-12-01T00:22:17,40.67168,-74.02183,23.3,181.9,181.0,H203,,WDJ4962,1012,undefined,,,,,313.5-569
366516380,2017-12-01T00:59:59,40.66189,-74.04389,0.1,-138.6,221.0,MORGAN REINAUER,IMO8101733,WCA3764,1025,under way using engine,38.41,10.37,,,313-568.5,538005598,2017-12-01T00:59:57,40.64584,-74.09514,0.0,-134.7,266.0,CORONIS,IMO9299616,V7FH8,1004,moored,224.97,32.62,14.3,70,313-568.5
366516380,2017-12-01T00:59:59,40.66189,-74.04389,0.1,-138.6,221.0,MORGAN REINAUER,IMO8101733,WCA3764,1025,under way using engine,38.41,10.37,,,313-569,538005598,2017-12-01T00:59:57,40.64584,-74.09514,0.0,-134.7,266.0,CORONIS,IMO9299616,V7FH8,1004,moored,224.97,32.62,14.3,70,313-569
366516380,2017-12-01T00:59:59,40.66189,-74.04389,0.1,-138.6,221.0,MORGAN REINAUER,IMO8101733,WCA3764,1025,under way using engine,38.41,10.37,,,313.5-568.5,538005598,2017-12-01T00:59:57,40.64584,-74.09514,0.0,-134.7,266.0,CORONIS,IMO9299616,V7FH8,1004,moored,224.97,32.62,14.3,70,313.5-568.5
366516380,2017-12-01T00:59:59,40.66189,-74.04389,0.1,-138.6,221.0,MORGAN REINAUER,IMO8101733,WCA3764,1025,under way using engine,38.41,10.37,,,313.5-569,538005598,2017-12-01T00:59:57,40.64584,-74.09514,0.0,-134.7,266.0,CORONIS,IMO9299616,V7FH8,1004,moored,224.97,32.62,14.3,70,313.5-569
366990540,2017-12-01T02:50:32,40.76094,-74.00382,0.0,145.2,511.0,PORT IMPERIAL MANHAT,,WBP3384,1012,under way using engine,27.34,7.3,,,314-568.5,367764240,2017-12-01T02:50:30,40.74220,-74.07931,0.0,-156.3,511.0,MICHAEL MILLER,IMO6708472,WDJ3048,1025,under way using engine,25.91,7.78,2.4,90,314-568.5
366990540,2017-12-01T02:50:32,40.76094,-74.00382,0.0,145.2,511.0,PORT IMPERIAL MANHAT,,WBP3384,1012,under way using engine,27.34,7.3,,,314-569,367764240,2017-12-01T02:50:30,40.74220,-74.07931,0.0,-156.3,511.0,MICHAEL MILLER,IMO6708472,WDJ3048,1025,under way using engine,25.91,7.78,2.4,90,314-569
